Sl. No,Name of Incident,Date,Month,Year,Country,Type of Event,Place Name,Impact,Affected Population,Important Person/Group Responsible,Outcome
669,Oklahoma City Bombing,19,April,1995,USA,Domestic Terrorism,"Oklahoma City, OK","Deadliest act of domestic terrorism in the US until 9/11, leading to 168 deaths.",American citizens,"Timothy McVeigh, Terry Nichols",Negative
670,Hurricane Katrina,29,August,2005,USA,Natural Disaster,Gulf Coast,"One of the deadliest hurricanes in US history, causing widespread destruction and loss of life.",Gulf Coast residents,Unknown,Negative
671,Black Lives Matter Movement,             ,Unknown,2013,USA,Social Movement,Nationwide,Movement against violence and systemic racism towards black people.,African American community,"Activists, general public",Positive
672,Supreme Court Upholds Obamacare,28,June,2012,USA,Judicial,Washington D.C.,"Affirmed the constitutionality of the Affordable Care Act, ensuring continued health coverage.",American citizens,Supreme Court,Positive
673,USUnknownMexico Border Wall Expansion,             ,Unknown,2017,USA,Political/Infrastructure,USUnknownMexico Border,Controversial project aimed at curbing illegal immigration and trafficking.,"Migrants, American citizens",Donald Trump,Mixed
674,SameUnknownSex Marriage Legalization,26,June,2015,USA,Legal,Nationwide,"Supreme Court legalized sameUnknownsex marriage, a landmark decision.","LGBTQ+ community, citizens","Supreme Court, LGBTQ+ activists",Positive
675,#MeToo Movement,             ,Unknown,2017,USA,Social Movement,Nationwide,"Movement against sexual harassment and assault, sparking global conversations.","Survivors, general public","Tarana Burke, Alyssa Milano",Positive
676,Capitol Riot,6,January,2021,USA,Political,Washington D.C.,"Violent attack on the US Capitol, leading to concerns about democracy.",American citizens,"Proponents of false claims, law enforcement",Negative
677,George Floyd Protests and Derek Chauvin Trial,             ,Unknown,2020,USA,Social Movement/Legal,Nationwide,Nationwide protests against racial injustice; Derek Chauvin's trial and conviction.,"Black community, citizens","Activists, legal system",Mixed
678,Paris Agreement Rejoining,20,January,2021,USA,Environmental,International,"Rejoined the Paris Agreement, signaling renewed commitment to climate action.",Global community,"Joe Biden, International leaders",Positive
679,Hurricane Sandy,29,October,2012,USA,Natural Disaster,East Coast,Devastating hurricane causing extensive damage and highlighting climate risks.,East Coast residents,"Local governments, relief efforts",Negative
680,Affordable Care Act (Obamacare) Implementation,             ,Unknown,2010,USA,Healthcare,Nationwide,Implementation of the Affordable Care Act aimed at improving healthcare access.,American citizens,"Barack Obama, Healthcare professionals",Positive
681,March on Washington for Jobs and Freedom,28,August,1963,USA,Social Movement,Washington D.C.,"Iconic civil rights march, culminating in Martin Luther King Jr.'s ""I Have a Dream"" speech.","Civil rights activists, citizens","Martin Luther King Jr., Activists",Positive
682,Assassination of President John F. Kennedy,22,November,1963,USA,Political,"Dallas, Texas","Shocked the nation, leading to significant political consequences.",American public,Lee Harvey Oswald (alleged),Negative
683,Stonewall Riots,28,June,1969,USA,Social Movement,"New York, NY",Marked the beginning of the modern LGBTQ+ rights movement.,LGBTQ+ community,"LGBTQ+ activists, police",Positive
684,Roe v. Wade Supreme Court Decision,22,January,1973,USA,Judicial,Washington D.C.,"Legalized abortion nationwide, sparking ongoing debates.",Women nationwide,Supreme Court,Positive
685,Tech Boom and DotUnknowncom Bubble,             ,Unknown,1990,USA,Economic,"Silicon Valley, CA","Rapid growth in tech industry, followed by a market crash in 2000.","Tech companies, investors","Tech entrepreneurs, investors",Mixed
686,Enactment of the Patriot Act,26,October,2001,USA,Legislative,Nationwide,"Expanded surveillance powers postUnknown9/11, raising privacy concerns.",American citizens,"George W. Bush, Congress",Mixed
687,Housing Market Crash and Great Recession,             ,Unknown,2008,USA,Economic,Nationwide,"Triggered global financial crisis, leading to widespread economic hardship.","Homeowners, global economy","Financial institutions, government",Negative
688,Charlottesville Rally and Violence,12,August,2017,USA,Social Unrest,"Charlottesville, VA",Highlighted racial tensions and sparked national debate on hate groups.,"General public, activists","White supremacists, counterprotesters",Negative
689,US Recognition of Jerusalem as Israel's Capital,6,December,2017,USA,International Policy,International,"Shifted US foreign policy, leading to global reactions and tensions.",International community,"Donald Trump, Israeli government",Mixed
690,January 6 Capitol Attack,6,January,2021,USA,Domestic Terrorism,Washington D.C.,"Attempt to overturn the 2020 presidential election results, challenging democratic norms.",American public,"ProUnknownTrump rioters, U.S. Congress",Negative
691,Withdrawal from Afghanistan,30,August,2021,USA,Military,Afghanistan,"Ended America's longest war, resulting in rapid Taliban takeover.","Afghan citizens, U.S. military","U.S. Government, Taliban",Negative
692,First Woman Vice President Elected,20,January,2021,USA,Political,Nationwide,"Kamala Harris becomes the first female, first Black, and first Asian American vice president.",American citizens,"Kamala Harris, American voters",Positive
693,Supreme Court Overturns Roe v. Wade,24,June,2022,USA,Judicial,Nationwide,"Ended federal protection for abortion rights, leaving regulation to states.",Women nationwide,U.S. Supreme Court,Negative
694,Launch of James Webb Space Telescope,25,December,2021,USA,Space Exploration,Space,"Advanced space observatory to study the universe, successor to Hubble.",Global community,"NASA, ESA, CSA",Positive
695,Boston Tea Party,16,December,1773,USA,Political Protest,"Boston, MA",Protest against British taxes on tea; pivotal event leading to the American Revolution.,Colonists,American Patriots,Positive
696,Lewis and Clark Expedition,             ,May,1804,USA,Exploration,Western USA,Expedition to explore the newly acquired western territory of the United States.,American explorers,"Meriwether Lewis, William Clark",Positive
697,California Gold Rush,             ,January,1848,USA,Economic,California,Led to a massive influx of settlers and rapid economic growth.,Prospective miners,James W. Marshall,Positive
698,Seneca Falls Convention,19,July,1848,USA,Social Movement,"Seneca Falls, NY","First women's rights convention in the U.S., sparking the suffrage movement.","Women, activists","Elizabeth Cady Stanton, Lucretia Mott",Positive
699,Emancipation Proclamation,1,January,1863,USA,Legislative,Confederate States,Declared the freedom of all slaves in ConfederateUnknownheld territory.,Enslaved African Americans,Abraham Lincoln,Positive
700,Transcontinental Railroad Completed,10,May,1869,USA,Infrastructure,"Promontory, Utah","Connected the East and West coasts, facilitating travel and commerce.",American settlers,"Union Pacific, Central Pacific Railroads",Positive
701,SpanishUnknownAmerican War,             ,April,1898,USA,Military,"Cuba, Philippines",Resulted in U.S. acquiring territories and emerging as a world power.,"Cubans, Filipinos, Americans",William McKinley,Positive
702,Wright Brothers' First Flight,17,December,1903,USA,Aviation,"Kitty Hawk, NC",Marked the beginning of powered flight and the aviation era.,Global population,Orville and Wilbur Wright,Positive
703,MexicanUnknownAmerican War,             ,April,1846,USA,Military,Southwestern USA,Resulted in U.S. acquiring territories including California and New Mexico.,"Mexican, American citizens",James K. Polk,Positive
704,Dred Scott Decision,6,March,1857,USA,Judicial,Supreme Court,Ruled African Americans could not be American citizens and negated Missouri Compromise.,African Americans,Supreme Court,Negative
705,Homestead Act,20,May,1862,USA,Legislative,Western Territories,"Provided land to settlers for development, leading to westward expansion.",American settlers,Abraham Lincoln,Positive
706,Completion of the Panama Canal,15,August,1914,USA,Engineering Achievement,Panama,Facilitated maritime trade between Atlantic and Pacific oceans.,Global shipping industry,"Theodore Roosevelt, Engineers",Positive
707,Entry into World War I,6,April,1917,USA,Military,Europe,"Marked U.S. entry into WWI, significant impact on the war's outcome.","European, American forces",Woodrow Wilson,Mixed
708,Prohibition Era Begins,17,January,1920,USA,Legislative,Nationwide,"Nationwide ban on alcohol production, sale, and transport.",American citizens,"US Government, Temperance movements",Negative
709,Social Security Act,14,August,1935,USA,Social Welfare Legislation,Nationwide,Established a system of oldUnknownage benefits and unemployment insurance.,"American workers, elderly",Franklin D. Roosevelt,Positive
710,Attack on Pearl Harbor,7,December,1941,USA,Military,"Pearl Harbor, HI",Prompted U.S. entry into World War II.,"American military, civilians",Imperial Japanese Navy,Negative
711,Manhattan Project and Atomic Bombing of Hiroshima and Nagasaki,Unknown,July,1945,USA,Military/Science,"Hiroshima, Nagasaki","Led to the end of World War II, significant ethical and geopolitical implications.","Japanese civilians, global community","U.S. Government, Scientists",Mixed
712,Marshall Plan Implementation,             ,Unknown,1948,USA,Economic Aid,Western Europe,"U.S. program to aid Europe's recovery postUnknownWWII, strengthened Western alliances.",European nations,George Marshall,Positive
713,United Nations Charter Ratification,26,June,1945,USA,International Relations,"San Francisco, CA","Founding of the United Nations, promoting international cooperation and peace.",Global community,"Franklin D. Roosevelt, International Leaders",Positive
714,Founding of Jamestown,14,May,1607,USA,Settlement,"Jamestown, VA","First permanent English settlement in the Americas, economic and cultural development.","English settlers, Native Americans","John Smith, Virginia Company of London",Positive
715,Salem Witch Trials,             ,February,1692,USA,Legal,"Salem, MA",Series of hearings and prosecutions of people accused of witchcraft.,Residents of Salem,Local magistrates,Negative
716,French and Indian War,             ,Unknown,1754,USA,Military,Eastern North America,"Conflict between British America and New France, part of a larger imperial war.","British, French colonies, Native Americans",British and French Empires,Mixed
717,Boston Massacre,5,March,1770,USA,PreUnknownRevolutionary Conflict,"Boston, MA","British soldiers killed five civilian men, fueling tensions leading to the revolution.",American colonists,British Army,Negative
718,Writing of the Federalist Papers,             ,October,1787,USA,Political,"New York, NY",Essays promoting the ratification of the U.S. Constitution.,American public,"Alexander Hamilton, James Madison, John Jay",Positive
719,War of 1812,             ,June,1812,USA,Military,"USA, Canada","Conflict with Britain over maritime rights, territorial expansion, and trade.","American, British citizens",James Madison,Mixed
720,Missouri Compromise,             ,March,1820,USA,Legislative,Missouri,Attempted to balance power between slave and free states entering the Union.,"American settlers, slaves",Henry Clay,Mixed
721,Trail of Tears,             ,Unknown,1838,USA,Forced Relocation,Southeastern USA,"Forced removal of Cherokee and other tribes from their lands, many deaths.",Native American tribes,Andrew Jackson,Negative
722,Compromise of 1850,             ,September,1850,USA,Legislative,Washington D.C.,Series of laws attempting to address slavery and territorial expansion.,"American public, slaves","Henry Clay, Stephen A. Douglas",Mixed
723,KansasUnknownNebraska Act,30,May,1854,USA,Legislative,"Kansas, Nebraska","Allowed states to decide on slavery, leading to ""Bleeding Kansas"" and heightened sectional tensions.","American settlers, slaves",Stephen A. Douglas,Negative
724,Alaska Purchase,30,March,1867,USA,Territorial Acquisition,Alaska,"Acquisition of Alaska from Russia, significantly expanding U.S. territory.",American settlers,William H. Seward,Positive
725,Reconstruction Era,             ,Unknown,1865,USA,PostUnknownCivil War Reconstruction,Southern USA,"Attempt to rebuild and reform the Southern states postUnknownCivil War, mixed success.","Southern Americans, freed slaves",U.S. Government,Mixed
726,Gilded Age,             ,Unknown,1870,USA,Economic/Social,Nationwide,"Period of rapid economic growth, industrialization, and political corruption.",American citizens,"Industrialists, politicians",Mixed
727,Confederation of Canada,1,July,1867,Canada,Political,Ottawa,Unification of provinces into a single dominion within the British Empire.,Canadians,"John A. Macdonald, GeorgeUnknownÉtienne Cartier",Positive
728,Completion of the Canadian Pacific Railway,7,November,1885,Canada,Infrastructure,Nationwide,"Connected Eastern Canada to the West, facilitating settlement and trade.",Canadian settlers,Sir John A. Macdonald,Positive
729,Battle of Vimy Ridge,9,April,1917,Canada,Military,"Vimy Ridge, France",Marked a turning point in Canadian national pride and military achievement.,Canadian soldiers,Canadian Corps,Positive
